"","artist_id","artist","image","genres","popularity","link","followers","id","image_url"
"1726","7rkW85dBwwrJtlHRDkJDAC","NAV","7rkW85dBwwrJtlHRDkJDAC.png","['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap']",80,"https://api.spotify.com/v1/artists/7rkW85dBwwrJtlHRDkJDAC",2865103,"1kj-6tdfbGBSnBLFH_gcOAsap3mk3bjTs","https://drive.google.com/file/d/1kj-6tdfbGBSnBLFH_gcOAsap3mk3bjTs"
"1727","7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","7crPfGd2k81ekOoSqQKWWz.png","['album rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",69,"https://api.spotify.com/v1/artists/7crPfGd2k81ekOoSqQKWWz",893582,"1mrHHqHbkhHwbOwCiZXWZ_KS9Y7AjbFsp","https://drive.google.com/file/d/1mrHHqHbkhHwbOwCiZXWZ_KS9Y7AjbFsp"
"1728","7b85ve82Sh36a3UAx74wut","Twisted Sister","7b85ve82Sh36a3UAx74wut.png","['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",66,"https://api.spotify.com/v1/artists/7b85ve82Sh36a3UAx74wut",1978777,"1NDQs6298UDAfzuS2gcdawUyVKLlub1Kk","https://drive.google.com/file/d/1NDQs6298UDAfzuS2gcdawUyVKLlub1Kk"
"1729","6oFs3qk4VepIVFdoD4jmsy","PVRIS","6oFs3qk4VepIVFdoD4jmsy.png","['modern alternative rock', 'modern rock', 'pixie', 'pop', 'pop emo', 'rock']",69,"https://api.spotify.com/v1/artists/6oFs3qk4VepIVFdoD4jmsy",589327,"1xl5jY-2HFIc49AQn4aAWYVsqMSnUOM0Y","https://drive.google.com/file/d/1xl5jY-2HFIc49AQn4aAWYVsqMSnUOM0Y"
"1730","5RjqSn7vYk8Qb9GeLWRRhB","Gloriana","5RjqSn7vYk8Qb9GeLWRRhB.png","['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",44,"https://api.spotify.com/v1/artists/5RjqSn7vYk8Qb9GeLWRRhB",251963,"1im87inwzbTk-IGNn58-KnxQ7XX9XDERS","https://drive.google.com/file/d/1im87inwzbTk-IGNn58-KnxQ7XX9XDERS"
"1731","61ipISvUVa5LkJlKZnm3Oo","Alle Farben","61ipISvUVa5LkJlKZnm3Oo.png","['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'pop rap', 'tropical house']",71,"https://api.spotify.com/v1/artists/61ipISvUVa5LkJlKZnm3Oo",309918,"1Dyaobxm1CZ4JYAwSV1V5JJqDfjMZD5zr","https://drive.google.com/file/d/1Dyaobxm1CZ4JYAwSV1V5JJqDfjMZD5zr"
"1732","28y6CyJNkGNjJQKrlx4AmN","HRVY","28y6CyJNkGNjJQKrlx4AmN.png","['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",70,"https://api.spotify.com/v1/artists/28y6CyJNkGNjJQKrlx4AmN",1484226,"10LJn7BMxyMuCsMl-5aIEzjRfJvrmmxPJ","https://drive.google.com/file/d/10LJn7BMxyMuCsMl-5aIEzjRfJvrmmxPJ"
"1733","6meTcQ79DrfkIuSLPZkpBg","The Story So Far","6meTcQ79DrfkIuSLPZkpBg.png","['alternative emo', 'anthem emo', 'emo', 'pop punk', 'rock']",63,"https://api.spotify.com/v1/artists/6meTcQ79DrfkIuSLPZkpBg",379527,"15Sue82Wc5YOZnnWFldsnytl2UmxtZ2m4","https://drive.google.com/file/d/15Sue82Wc5YOZnnWFldsnytl2UmxtZ2m4"
"1734","5lPsVvHVDr6R5mDxRUXdOs","A1","5lPsVvHVDr6R5mDxRUXdOs.png","['boy band', 'bubblegum dance', 'dance pop', 'europop']",55,"https://api.spotify.com/v1/artists/5lPsVvHVDr6R5mDxRUXdOs",392226,"1eghUx1bcv50jFrrdgLxaWipwzlKsvt0D","https://drive.google.com/file/d/1eghUx1bcv50jFrrdgLxaWipwzlKsvt0D"
"1735","6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","6sFIWsNpZYqfjUpaCgueju.png","['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",75,"https://api.spotify.com/v1/artists/6sFIWsNpZYqfjUpaCgueju",4912897,"11w-F0Mfg_kjziT7n7j3mjRX34j5lw-eI","https://drive.google.com/file/d/11w-F0Mfg_kjziT7n7j3mjRX34j5lw-eI"
