id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre
28clONjZmul6FjfO6tZQDE,Metal Health (Bang Your Head),1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,3Q3rQ8FK1e9Fd9Gv9xm3CK,Metal Health,1983,https://api.spotify.com/v1/tracks/28clONjZmul6FjfO6tZQDE,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,audio_features,spotify:track:28clONjZmul6FjfO6tZQDE,https://api.spotify.com/v1/tracks/28clONjZmul6FjfO6tZQDE,https://api.spotify.com/v1/audio-analysis/28clONjZmul6FjfO6tZQDE,316867,4,rock
5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,3RGLhK1IP9jnYFH4BRFJBS,The Clash,6FCzvataOZh68j8OKzOt9a,London Calling (Remastered),1979,https://api.spotify.com/v1/tracks/5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,audio_features,spotify:track:5jzma6gCzYtKB1DbEwFZKH,https://api.spotify.com/v1/tracks/5jzma6gCzYtKB1DbEwFZKH,https://api.spotify.com/v1/audio-analysis/5jzma6gCzYtKB1DbEwFZKH,200480,4,rock
4ZpXHlV2vQVfPXUvbDSZ92,I Remember You,4opTS86dN9uO313J9CE8xg,Skid Row,0kSTuMp9GpX9pJR45Bksgi,Skid Row,1989-01-24,https://api.spotify.com/v1/tracks/4ZpXHlV2vQVfPXUvbDSZ92,0.345,0.531,0,-12.708,1,0.0305,0.00642,7.28e-06,0.14,0.49,176.302,audio_features,spotify:track:4ZpXHlV2vQVfPXUvbDSZ92,https://api.spotify.com/v1/tracks/4ZpXHlV2vQVfPXUvbDSZ92,https://api.spotify.com/v1/audio-analysis/4ZpXHlV2vQVfPXUvbDSZ92,313693,4,rock
0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,24E6rDvGDuYFjlGewp4ntF,Evil Empire,1996-04-16,https://api.spotify.com/v1/tracks/0tZ3mElWcr74OOhKEiNz1x,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,audio_features,spotify:track:0tZ3mElWcr74OOhKEiNz1x,https://api.spotify.com/v1/tracks/0tZ3mElWcr74OOhKEiNz1x,https://api.spotify.com/v1/audio-analysis/0tZ3mElWcr74OOhKEiNz1x,229467,4,rock
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,2Q5MwpTmtjscaS34mJFXQQ,Out Of Our Heads,1965-07-30,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4,rock
0grFc6klR3hxoHLcgCYsF4,Howlin' for You,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,7qE6RXYyz5kj5Tll7mJU0v,Brothers,2010-05-18,https://api.spotify.com/v1/tracks/0grFc6klR3hxoHLcgCYsF4,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627,audio_features,spotify:track:0grFc6klR3hxoHLcgCYsF4,https://api.spotify.com/v1/tracks/0grFc6klR3hxoHLcgCYsF4,https://api.spotify.com/v1/audio-analysis/0grFc6klR3hxoHLcgCYsF4,191800,4,rock
3jYRpwbctfqB77uU7T7K3U,Caught Up In You,3zXw2Eh96iTT51pytzHdZi,38 Special,4vWxauP6oFowwSQeBnFwRW,Special Forces,1982-01-01,https://api.spotify.com/v1/tracks/3jYRpwbctfqB77uU7T7K3U,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,audio_features,spotify:track:3jYRpwbctfqB77uU7T7K3U,https://api.spotify.com/v1/tracks/3jYRpwbctfqB77uU7T7K3U,https://api.spotify.com/v1/audio-analysis/3jYRpwbctfqB77uU7T7K3U,279333,4,rock
48MQDFkvHlGnRQyUx6ZXVe,I Just Want to Make Love to You,6x33CmZWo2Ve4hxYl2Craq,Foghat,436NeoRUt1APoubE867iBx,Foghat,1972,https://api.spotify.com/v1/tracks/48MQDFkvHlGnRQyUx6ZXVe,0.375,0.599,7,-12.022,1,0.199,0.0922,0.0,0.2,0.62,126.822,audio_features,spotify:track:48MQDFkvHlGnRQyUx6ZXVe,https://api.spotify.com/v1/tracks/48MQDFkvHlGnRQyUx6ZXVe,https://api.spotify.com/v1/audio-analysis/48MQDFkvHlGnRQyUx6ZXVe,261173,4,rock
5gOnivVq0hLxPvIPC00ZhF,Cosmic Dancer,3dBVyJ7JuOMt4GE9607Qin,T. Rex,2wnq5e000z2hT7qS2F8jZ5,Electric Warrior,1971-09-24,https://api.spotify.com/v1/tracks/5gOnivVq0hLxPvIPC00ZhF,0.363,0.803,0,-8.089,1,0.06,0.0117,0.00601,0.189,0.718,156.047,audio_features,spotify:track:5gOnivVq0hLxPvIPC00ZhF,https://api.spotify.com/v1/tracks/5gOnivVq0hLxPvIPC00ZhF,https://api.spotify.com/v1/audio-analysis/5gOnivVq0hLxPvIPC00ZhF,266533,4,rock
3Staqm5EYDnYBqcwuxrWjZ,Overkill,1DFr97A9HnbV3SKTJFu62M,Motörhead,5iw08epzFaKtmX3y2vRVU6,Overkill (Expanded Bonus Track Edition),1979-03-24,https://api.spotify.com/v1/tracks/3Staqm5EYDnYBqcwuxrWjZ,0.266,0.866,11,-7.885,1,0.112,5.44e-06,0.0185,0.0961,0.211,119.41,audio_features,spotify:track:3Staqm5EYDnYBqcwuxrWjZ,https://api.spotify.com/v1/tracks/3Staqm5EYDnYBqcwuxrWjZ,https://api.spotify.com/v1/audio-analysis/3Staqm5EYDnYBqcwuxrWjZ,311133,4,rock
4JwjzS9WFkWlpzGCwh82fn,Atlantic City,4vpDg7Y7fU982Ds30zawDA,The Band,0RLw5OMSYJ9FNUJvBTfHzU,Jericho,1993-11-02,https://api.spotify.com/v1/tracks/4JwjzS9WFkWlpzGCwh82fn,0.648,0.525,9,-9.213,1,0.0241,0.466,1.5e-06,0.165,0.724,98.131,audio_features,spotify:track:4JwjzS9WFkWlpzGCwh82fn,https://api.spotify.com/v1/tracks/4JwjzS9WFkWlpzGCwh82fn,https://api.spotify.com/v1/audio-analysis/4JwjzS9WFkWlpzGCwh82fn,314840,4,rock
648BMGrt98kUbLo24A4vgj,Hip To Be Square,7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,5L0vaNLbzgP8RIJqs1zamE,Fore!,1986-01-01,https://api.spotify.com/v1/tracks/648BMGrt98kUbLo24A4vgj,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000347,0.139,0.963,140.873,audio_features,spotify:track:648BMGrt98kUbLo24A4vgj,https://api.spotify.com/v1/tracks/648BMGrt98kUbLo24A4vgj,https://api.spotify.com/v1/audio-analysis/648BMGrt98kUbLo24A4vgj,245467,4,rock
